,0,0
0,3,1
1,1,0
2,0,0
3,0,3
4,3,1
5,1,0
6,0,0
7,0,0
8,0,0
9,0,2
10,2,2
11,2,2
12,2,0
13,0,2
14,2,1
15,1,1
16,1,0
17,0,0
18,0,1
19,1,0
20,0,3
21,3,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,3
34,3,0
35,0,4
36,4,0
37,0,7
38,7,14
39,14,5
40,5,28
41,28,10
42,10,6
43,6,18
44,18,12
45,12,20
46,20,9
47,9,39
48,39,41
49,41,190
50,190,125
51,125,120
52,120,117
53,117,110
54,110,130
55,130,153
56,153,123
57,123,212
58,212,106
59,106,172
60,172,235
61,235,130
62,130,159
63,159,150
64,150,156
65,156,140
66,140,142
67,142,208
68,208,217
69,217,150
70,150,179
71,179,131
72,131,170
73,170,156
74,156,109
75,109,118
76,118,184
77,184,153
78,153,134
79,134,170
80,170,85
81,85,110
82,110,69
83,69,54
84,54,84
85,84,36
86,36,57
87,57,50
88,50,71
89,71,88
90,88,51
91,51,38
92,38,40
93,40,31
94,31,94
95,94,57
96,57,69
97,69,105
98,105,122
99,122,55
100,55,30
101,30,45
102,45,39
103,39,68
104,68,54
105,54,67
106,67,70
107,70,16
108,16,37
109,37,40
110,40,36
111,36,17
112,17,22
113,22,47
114,47,37
115,37,31
116,31,50
117,50,78
118,78,48
119,48,60
120,60,172
121,172,187
122,187,15
123,15,10
124,10,103
125,103,30
126,30,57
127,57,38
128,38,20
129,20,93
130,93,277
131,277,19
132,19,37
